path_id,step,state,action,reward,next_state,image_path
0,0,0,2,0.0,1,map_9x9/path_images/path_0_step_0.png
0,1,1,0,0.0,0,map_9x9/path_images/path_0_step_1.png
0,2,0,1,0.0,9,map_9x9/path_images/path_0_step_2.png
0,3,9,1,0.0,18,map_9x9/path_images/path_0_step_3.png
0,4,18,2,0.0,19,map_9x9/path_images/path_0_step_4.png
0,5,19,0,0.0,18,map_9x9/path_images/path_0_step_5.png
0,6,18,1,0.0,27,map_9x9/path_images/path_0_step_6.png
0,7,27,2,0.0,28,map_9x9/path_images/path_0_step_7.png
1,0,0,2,0.0,1,map_9x9/path_images/path_1_step_0.png
1,1,1,2,0.0,2,map_9x9/path_images/path_1_step_1.png
1,2,2,2,0.0,3,map_9x9/path_images/path_1_step_2.png
1,3,3,2,0.0,4,map_9x9/path_images/path_1_step_3.png
1,4,4,2,0.0,5,map_9x9/path_images/path_1_step_4.png
1,5,5,1,0.0,14,map_9x9/path_images/path_1_step_5.png
1,6,14,2,0.0,15,map_9x9/path_images/path_1_step_6.png
1,7,15,2,0.0,16,map_9x9/path_images/path_1_step_7.png
1,8,16,0,0,16,map_9x9/path_images/path_1_step_8.png
1,9,16,2,0,16,map_9x9/path_images/path_1_step_9.png
2,0,0,1,0.0,9,map_9x9/path_images/path_2_step_0.png
2,1,9,2,0.0,10,map_9x9/path_images/path_2_step_1.png
2,2,10,2,0.0,11,map_9x9/path_images/path_2_step_2.png
2,3,11,0,0.0,10,map_9x9/path_images/path_2_step_3.png
2,4,10,0,0.0,9,map_9x9/path_images/path_2_step_4.png
2,5,9,2,0.0,10,map_9x9/path_images/path_2_step_5.png
2,6,10,3,0.0,1,map_9x9/path_images/path_2_step_6.png
2,7,1,1,0.0,10,map_9x9/path_images/path_2_step_7.png
2,8,10,2,0.0,11,map_9x9/path_images/path_2_step_8.png
2,9,11,2,0.0,12,map_9x9/path_images/path_2_step_9.png
2,10,12,1,0.0,21,map_9x9/path_images/path_2_step_10.png
2,11,21,2,0.0,22,map_9x9/path_images/path_2_step_11.png
2,12,22,1,0.0,31,map_9x9/path_images/path_2_step_12.png
2,13,31,0,0.0,30,map_9x9/path_images/path_2_step_13.png
3,0,0,1,0.0,9,map_9x9/path_images/path_3_step_0.png
3,1,9,3,0.0,0,map_9x9/path_images/path_3_step_1.png
3,2,0,1,0.0,9,map_9x9/path_images/path_3_step_2.png
3,3,9,3,0.0,0,map_9x9/path_images/path_3_step_3.png
3,4,0,1,0.0,9,map_9x9/path_images/path_3_step_4.png
3,5,9,1,0.0,18,map_9x9/path_images/path_3_step_5.png
3,6,18,2,0.0,19,map_9x9/path_images/path_3_step_6.png
3,7,19,3,0.0,10,map_9x9/path_images/path_3_step_7.png
3,8,10,0,0.0,9,map_9x9/path_images/path_3_step_8.png
3,9,9,2,0.0,10,map_9x9/path_images/path_3_step_9.png
3,10,10,2,0.0,11,map_9x9/path_images/path_3_step_10.png
3,11,11,1,0.0,20,map_9x9/path_images/path_3_step_11.png
3,12,20,3,0.0,11,map_9x9/path_images/path_3_step_12.png
3,13,11,1,0.0,20,map_9x9/path_images/path_3_step_13.png
3,14,20,2,0.0,21,map_9x9/path_images/path_3_step_14.png
3,15,21,1,0.0,30,map_9x9/path_images/path_3_step_15.png
4,0,0,2,0.0,1,map_9x9/path_images/path_4_step_0.png
4,1,1,1,0.0,10,map_9x9/path_images/path_4_step_1.png
4,2,10,2,0.0,11,map_9x9/path_images/path_4_step_2.png
4,3,11,2,0.0,12,map_9x9/path_images/path_4_step_3.png
4,4,12,3,0.0,3,map_9x9/path_images/path_4_step_4.png
4,5,3,1,0.0,12,map_9x9/path_images/path_4_step_5.png
4,6,12,2,0.0,13,map_9x9/path_images/path_4_step_6.png
4,7,13,2,0.0,14,map_9x9/path_images/path_4_step_7.png
4,8,14,3,0.0,5,map_9x9/path_images/path_4_step_8.png
4,9,5,1,0.0,14,map_9x9/path_images/path_4_step_9.png
4,10,14,1,0.0,23,map_9x9/path_images/path_4_step_10.png
4,11,23,1,0.0,32,map_9x9/path_images/path_4_step_11.png
4,12,32,1,0.0,41,map_9x9/path_images/path_4_step_12.png
4,13,41,0,0.0,40,map_9x9/path_images/path_4_step_13.png
4,14,40,3,0.0,31,map_9x9/path_images/path_4_step_14.png
4,15,31,0,0.0,30,map_9x9/path_images/path_4_step_15.png
5,0,0,2,0.0,1,map_9x9/path_images/path_5_step_0.png
5,1,1,2,0.0,2,map_9x9/path_images/path_5_step_1.png
5,2,2,1,0.0,11,map_9x9/path_images/path_5_step_2.png
5,3,11,2,0.0,12,map_9x9/path_images/path_5_step_3.png
5,4,12,2,0.0,13,map_9x9/path_images/path_5_step_4.png
5,5,13,1,0.0,22,map_9x9/path_images/path_5_step_5.png
5,6,22,0,0.0,21,map_9x9/path_images/path_5_step_6.png
5,7,21,3,0.0,12,map_9x9/path_images/path_5_step_7.png
5,8,12,2,0.0,13,map_9x9/path_images/path_5_step_8.png
5,9,13,2,0.0,14,map_9x9/path_images/path_5_step_9.png
5,10,14,1,0.0,23,map_9x9/path_images/path_5_step_10.png
5,11,23,3,0.0,14,map_9x9/path_images/path_5_step_11.png
5,12,14,1,0.0,23,map_9x9/path_images/path_5_step_12.png
5,13,23,0,0.0,22,map_9x9/path_images/path_5_step_13.png
5,14,22,2,0.0,23,map_9x9/path_images/path_5_step_14.png
5,15,23,0,0.0,22,map_9x9/path_images/path_5_step_15.png
5,16,22,2,0.0,23,map_9x9/path_images/path_5_step_16.png
5,17,23,2,0.0,24,map_9x9/path_images/path_5_step_17.png
5,18,24,0,0.0,23,map_9x9/path_images/path_5_step_18.png
5,19,23,2,0.0,24,map_9x9/path_images/path_5_step_19.png
5,20,24,1,0.0,33,map_9x9/path_images/path_5_step_20.png
5,21,33,0,0.0,32,map_9x9/path_images/path_5_step_21.png
5,22,32,1,0.0,41,map_9x9/path_images/path_5_step_22.png
5,23,41,0,0.0,40,map_9x9/path_images/path_5_step_23.png
5,24,40,1,0.0,49,map_9x9/path_images/path_5_step_24.png
5,25,49,3,0.0,40,map_9x9/path_images/path_5_step_25.png
5,26,40,0,0.0,39,map_9x9/path_images/path_5_step_26.png
5,27,39,1,0.0,48,map_9x9/path_images/path_5_step_27.png
5,28,48,3,0.0,39,map_9x9/path_images/path_5_step_28.png
5,29,39,1,0.0,48,map_9x9/path_images/path_5_step_29.png
5,30,48,0,0.0,47,map_9x9/path_images/path_5_step_30.png
5,31,47,2,0.0,48,map_9x9/path_images/path_5_step_31.png
5,32,48,0,0.0,47,map_9x9/path_images/path_5_step_32.png
5,33,47,2,0.0,48,map_9x9/path_images/path_5_step_33.png
5,34,48,2,0.0,49,map_9x9/path_images/path_5_step_34.png
5,35,49,1,0.0,58,map_9x9/path_images/path_5_step_35.png
5,36,58,1,0.0,67,map_9x9/path_images/path_5_step_36.png
5,37,67,2,0.0,68,map_9x9/path_images/path_5_step_37.png
5,38,68,2,0,68,map_9x9/path_images/path_5_step_38.png
5,39,68,0,0,68,map_9x9/path_images/path_5_step_39.png
6,0,0,2,0.0,1,map_9x9/path_images/path_6_step_0.png
6,1,1,0,0.0,0,map_9x9/path_images/path_6_step_1.png
6,2,0,1,0.0,9,map_9x9/path_images/path_6_step_2.png
6,3,9,1,0.0,18,map_9x9/path_images/path_6_step_3.png
6,4,18,1,0.0,27,map_9x9/path_images/path_6_step_4.png
6,5,27,2,0.0,28,map_9x9/path_images/path_6_step_5.png
7,0,0,2,0.0,1,map_9x9/path_images/path_7_step_0.png
7,1,1,2,0.0,2,map_9x9/path_images/path_7_step_1.png
7,2,2,0,0.0,1,map_9x9/path_images/path_7_step_2.png
7,3,1,2,0.0,2,map_9x9/path_images/path_7_step_3.png
7,4,2,0,0.0,1,map_9x9/path_images/path_7_step_4.png
7,5,1,1,0.0,10,map_9x9/path_images/path_7_step_5.png
7,6,10,0,0.0,9,map_9x9/path_images/path_7_step_6.png
7,7,9,2,0.0,10,map_9x9/path_images/path_7_step_7.png
7,8,10,0,0.0,9,map_9x9/path_images/path_7_step_8.png
7,9,9,2,0.0,10,map_9x9/path_images/path_7_step_9.png
7,10,10,1,0.0,19,map_9x9/path_images/path_7_step_10.png
7,11,19,3,0.0,10,map_9x9/path_images/path_7_step_11.png
7,12,10,1,0.0,19,map_9x9/path_images/path_7_step_12.png
7,13,19,0,0.0,18,map_9x9/path_images/path_7_step_13.png
7,14,18,3,0.0,9,map_9x9/path_images/path_7_step_14.png
7,15,9,1,0.0,18,map_9x9/path_images/path_7_step_15.png
7,16,18,3,0.0,9,map_9x9/path_images/path_7_step_16.png
7,17,9,3,0.0,0,map_9x9/path_images/path_7_step_17.png
7,18,0,2,0.0,1,map_9x9/path_images/path_7_step_18.png
7,19,1,2,0.0,2,map_9x9/path_images/path_7_step_19.png
7,20,2,1,0.0,11,map_9x9/path_images/path_7_step_20.png
7,21,11,1,0.0,20,map_9x9/path_images/path_7_step_21.png
7,22,20,1,0.0,29,map_9x9/path_images/path_7_step_22.png
7,23,29,2,0.0,30,map_9x9/path_images/path_7_step_23.png
7,24,30,3,0,30,map_9x9/path_images/path_7_step_24.png
7,25,30,0,0,30,map_9x9/path_images/path_7_step_25.png
8,0,0,1,0.0,9,map_9x9/path_images/path_8_step_0.png
8,1,9,1,0.0,18,map_9x9/path_images/path_8_step_1.png
8,2,18,3,0.0,9,map_9x9/path_images/path_8_step_2.png
8,3,9,2,0.0,10,map_9x9/path_images/path_8_step_3.png
8,4,10,0,0.0,9,map_9x9/path_images/path_8_step_4.png
8,5,9,2,0.0,10,map_9x9/path_images/path_8_step_5.png
8,6,10,3,0.0,1,map_9x9/path_images/path_8_step_6.png
